"STAROST";"SPOL";"LETO";Umrli
"75 let";"Moški";"2013";256
"75 let";"Moški";"2014";251
"75 let";"Ženske";"2010";190
"75 let";"Ženske";"2011";189
"75 let";"Ženske";"2012";187
"75 let";"Ženske";"2013";194
"75 let";"Ženske";"2014";164
"76 let";"Moški";"2010";293
"76 let";"Moški";"2011";275
"76 let";"Moški";"2012";289
"76 let";"Moški";"2013";315
"76 let";"Moški";"2014";264
"76 let";"Ženske";"2010";260
"76 let";"Ženske";"2011";233
"76 let";"Ženske";"2012";245
"76 let";"Ženske";"2013";218
"76 let";"Ženske";"2014";188
"77 let";"Moški";"2010";264
"77 let";"Moški";"2011";300
"77 let";"Moški";"2012";256
"77 let";"Moški";"2013";305
"77 let";"Moški";"2014";253
"77 let";"Ženske";"2010";252
"77 let";"Ženske";"2011";260
"77 let";"Ženske";"2012";267
"77 let";"Ženske";"2013";220
"77 let";"Ženske";"2014";218
"78 let";"Moški";"2010";307
"78 let";"Moški";"2011";313
"78 let";"Moški";"2012";320
"78 let";"Moški";"2013";288
"78 let";"Moški";"2014";272
"78 let";"Ženske";"2010";312
"78 let";"Ženske";"2011";304
"78 let";"Ženske";"2012";278
"78 let";"Ženske";"2013";261
"78 let";"Ženske";"2014";255
"79 let";"Moški";"2010";337
"79 let";"Moški";"2011";324
"79 let";"Moški";"2012";303
"79 let";"Moški";"2013";291
"79 let";"Moški";"2014";306
"79 let";"Ženske";"2010";358
"79 let";"Ženske";"2011";325
"79 let";"Ženske";"2012";333
"79 let";"Ženske";"2013";302
"79 let";"Ženske";"2014";287
"80 let";"Moški";"2010";319
"80 let";"Moški";"2011";343
"80 let";"Moški";"2012";325
"80 let";"Moški";"2013";338
"80 let";"Moški";"2014";297
"80 let";"Ženske";"2010";352
"80 let";"Ženske";"2011";359
"80 let";"Ženske";"2012";368
"80 let";"Ženske";"2013";325
"80 let";"Ženske";"2014";323
"81 let";"Moški";"2010";338
"81 let";"Moški";"2011";334
"81 let";"Moški";"2012";352
"81 let";"Moški";"2013";331
"81 let";"Moški";"2014";303
"81 let";"Ženske";"2010";373
"81 let";"Ženske";"2011";376
"81 let";"Ženske";"2012";379
"81 let";"Ženske";"2013";402
"81 let";"Ženske";"2014";369
"82 let";"Moški";"2010";275
"82 let";"Moški";"2011";314
"82 let";"Moški";"2012";301
"82 let";"Moški";"2013";352
"82 let";"Moški";"2014";300
"82 let";"Ženske";"2010";411
"82 let";"Ženske";"2011";367
"82 let";"Ženske";"2012";419
"82 let";"Ženske";"2013";436
"82 let";"Ženske";"2014";383
"83 let";"Moški";"2010";304
"83 let";"Moški";"2011";274
"83 let";"Moški";"2012";321
"83 let";"Moški";"2013";326
"83 let";"Moški";"2014";367
"83 let";"Ženske";"2010";412
